timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-06 15:00:00+02:00,13.095936,1288.32909,295.815525,68.2945,0.0,230.346656,245.03258,1955.1456,120.692597,3.857,446.575328
2025-12-06 16:00:00+02:00,13.263552,1315.81119,295.94623,68.4015,0.0,250.789195,295.18893,1955.1456,147.922598,3.861,486.705096
2025-12-06 17:00:00+02:00,13.029904,1406.55977,295.36487,68.5721,0.0,264.974014,590.91592,1953.3672,414.048046,3.526,498.23729
2025-12-06 18:00:00+02:00,13.102032,1528.20573,294.79989,68.4549,0.0,262.200925,613.49191,1955.0088,402.381896,3.413,509.411043
2025-12-06 19:00:00+02:00,13.433344,1392.0939,295.603765,68.6727,0.0,261.689412,378.64023,1953.2304,276.089398,3.496,475.36335
2025-12-06 20:00:00+02:00,13.64272,1355.27523,295.28069,68.675,0.0,259.482861,275.91288,1953.9144,146.010862,3.609,444.219365
2025-12-06 21:00:00+02:00,11.921008,1350.14449,296.08843,68.604,0.0,229.628292,181.18174,1953.9144,47.972647,3.547,434.586339
2025-12-06 22:00:00+02:00,11.816176,1312.89164,293.953185,68.0616,0.0,213.864334,45.78933,1957.3344,0.262488,3.351,441.637
2025-12-06 23:00:00+02:00,11.159936,1298.32867,293.410695,68.291,0.0,195.009269,8.74452,1954.5984,3.274197,3.125,441.206221
2025-12-07 00:00:00+02:00,13.097504,1283.09154,291.98387,68.1336,0.0,204.588826,8.73956,1956.3768,0.208286,3.265,458.948516
2025-12-07 01:00:00+02:00,13.03528,1163.2678,292.58065,68.4146,0.0,206.053263,8.69896,1954.7352,0.12369,3.273,464.160272
2025-12-07 02:00:00+02:00,13.113104,1161.43409,289.618505,68.4579,0.0,205.866431,8.69796,1955.9664,0.10984,3.363,478.732527
2025-12-07 03:00:00+02:00,13.103136,1160.1877,290.375245,68.3924,0.0,205.835463,8.74152,1955.6928,0.190099,3.548,481.265928
2025-12-07 04:00:00+02:00,12.988432,1157.37418,291.727565,68.4284,0.0,225.101299,8.72863,1954.5984,0.159815,3.567,467.289286
