created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2026-05-11 22:38:41+03:00,0,BG,Planned maintenance,A03,,2026-09-01 00:00:00+03:00,uuHCTCetlvEhR2rm9U1NYQ,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,2,2026-05-01 09:30:00+03:00
2026-05-11 22:53:52+03:00,0,BG,Planned maintenance,A03,,2026-05-12 00:00:00+03:00,5ife37Bk-M7OUMrz0nggNg,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,7,2026-03-09 12:42:00+02:00
2026-05-16 16:08:42+03:00,0,BG,Planned maintenance,A03,,2026-05-16 16:15:00+03:00,hFdasfV8iCDovN9PDO4KgA,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,2,2026-05-14 00:00:00+03:00
2026-05-17 18:08:32+03:00,0,BG,Planned maintenance,A03,,2026-05-17 17:59:00+03:00,Bn40VJaJwXTvBLDjrmT4sQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,2,2026-05-16 20:29:00+03:00
2026-05-17 23:38:39+03:00,0,BG,Planned maintenance,A03,,2026-05-17 23:30:00+03:00,fD7dqaUKl9pM6avesqjzNQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,2,2026-05-17 18:00:00+03:00
2026-05-18 03:41:57+03:00,0,BG,Planned maintenance,A03,,2026-05-19 15:30:00+03:00,CB11h1ufXjJc3UJEOdohPw,218.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G7,1,MAW,PT1M,1,2026-05-18 03:30:00+03:00
2026-05-20 11:32:21+03:00,0,BG,Unplanned outage,A03,,2026-05-21 16:00:00+03:00,NzRwjEK4wWDy1fT7DGPaiA,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,2,2026-05-19 02:45:00+03:00
2026-05-28 11:01:20+03:00,0,BG,Unplanned outage,A03,,2026-05-28 12:00:00+03:00,It5QLcBdfvlewJZmBOW-jg,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,2,2026-05-27 17:18:00+03:00
2026-05-28 11:17:32+03:00,0,BG,Unplanned outage,A03,,2026-06-13 00:00:00+03:00,v3L8CqkuzKUIBPaRJHASMw,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,1,2026-05-28 12:01:00+03:00
2026-05-31 18:08:08+03:00,0,BG,Planned maintenance,A03,,2026-05-31 18:15:00+03:00,rlWyEXhHaQcVVowEu5wj6g,218.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G7,1,MAW,PT1M,3,2026-05-19 15:30:00+03:00
2026-05-31 21:08:36+03:00,0,BG,Planned maintenance,A03,,2026-06-30 23:59:00+03:00,6UfjXT_yWGeUYTBw5OdZ_Q,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G1,1,MAW,PT1M,3,2026-04-01 00:00:00+03:00
2026-06-01 00:07:54+03:00,74.25,BG,Planned maintenance,A03,,2026-06-01 00:12:00+03:00,UWQomHTN9sr1c_CrJfo5aw,165.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G2,1,MAW,PT1M,3,2026-05-12 01:00:00+03:00
2026-06-01 00:53:41+03:00,0,BG,Planned maintenance,A03,,2026-06-30 23:59:00+03:00,wBq06d7GN9rpgxnCfMGwnw,165.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G2,1,MAW,PT1M,1,2026-06-01 00:12:00+03:00
2026-06-10 13:08:20+03:00,0,BG,Planned maintenance,A03,,2026-06-10 12:59:00+03:00,ga6-N75938hNlTKCS6IxJQ,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,2,2026-05-31 23:00:00+03:00
